Date : 2022-08-16 03:01:43
Directory : /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3
Total : 281 files,  134149 codes, 60492 comments, 30981 blanks, all 225622 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/maps.h                                                 | C++          |      1,777 |      1,731 |        550 |      4,058 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/matching.h                                             | C++          |      2,432 |        499 |        575 |      3,506 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/math.h                                                 | C++          |         23 |         42 |         13 |         78 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/max_cardinality_search.h                               | C++          |        365 |        341 |         89 |        795 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/min_cost_arborescence.h                                | C++          |        450 |        256 |        103 |        809 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/nagamochi_ibaraki.h                                    | C++          |        426 |        183 |         94 |        703 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/nauty_reader.h                                         | C++          |         49 |         51 |         14 |        114 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/nearest_neighbor_tsp.h                                 | C++          |        112 |         91 |         36 |        239 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/network_simplex.h                                      | C++          |      1,034 |        463 |        163 |      1,660 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/opt2_tsp.h                                             | C++          |        198 |        116 |         54 |        368 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/pairing_heap.h                                         | C++          |        287 |        140 |         48 |        475 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/path.h                                                 | C++          |        679 |        319 |        167 |      1,165 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/planarity.h                                            | C++          |      1,970 |        211 |        574 |      2,755 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/preflow.h                                              | C++          |        584 |        283 |        119 |        986 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/quad_heap.h                                            | C++          |        153 |        157 |         34 |        344 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/radix_heap.h                                           | C++          |        239 |        150 |         50 |        439 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/radix_sort.h                                           | C++          |        358 |         77 |         53 |        488 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/random.cc                                              | C++          |          4 |         22 |          4 |         30 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/random.h                                               | C++          |        553 |        299 |        154 |      1,006 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/smart_graph.h                                          | C++          |        764 |        328 |        253 |      1,345 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/soplex.cc                                              | C++          |        372 |         19 |         75 |        466 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/soplex.h                                               | C++          |         80 |         35 |         44 |        159 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/static_graph.h                                         | C++          |        271 |        130 |         76 |        477 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/suurballe.h                                            | C++          |        375 |        313 |         89 |        777 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/time_measure.h                                         | C++          |        287 |        245 |         79 |        611 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/tolerance.h                                            | C++          |         77 |        119 |         47 |        243 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/unionfind.h                                            | C++          |      1,122 |        437 |        266 |      1,825 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/input/design_data.json                                                                              | JSON         |      1,547 |          0 |          0 |      1,547 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/input/design_data_cLoc.json                                                                         | JSON         |      1,529 |          0 |          0 |      1,529 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/input/design_data_cLoc_original.json                                                                | JSON         |      1,558 |          0 |          0 |      1,558 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/adaptors.h                                                                                    | C++          |      2,336 |        674 |        629 |      3,639 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/arg_parser.cc                                                                                 | C++          |        419 |         17 |         39 |        475 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/arg_parser.h                                                                                  | C++          |        211 |        145 |         85 |        441 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/assert.h                                                                                      | C++          |        101 |         91 |         23 |        215 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/base.cc                                                                                       | C++          |         12 |         19 |          7 |         38 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bellman_ford.h                                                                                | C++          |        464 |        537 |        116 |      1,117 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bfs.h                                                                                         | C++          |        746 |        807 |        202 |      1,755 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bin_heap.h                                                                                    | C++          |        161 |        149 |         38 |        348 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/binomial_heap.h                                                                               | C++          |        252 |        147 |         47 |        446 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/alteration_notifier.h                                                                    | C++          |        187 |        226 |         60 |        473 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/array_map.h                                                                              | C++          |        210 |        101 |         41 |        352 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/bezier.h                                                                                 | C++          |        126 |         26 |         23 |        175 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/default_map.h                                                                            | C++          |         98 |         39 |         46 |        183 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/edge_set_extender.h                                                                      | C++          |        393 |         68 |        167 |        628 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/enable_if.h                                                                              | C++          |         54 |         41 |         37 |        132 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/graph_adaptor_extender.h                                                                 | C++          |        268 |         19 |        115 |        402 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/graph_extender.h                                                                         | C++          |        919 |         93 |        321 |      1,333 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/lock.h                                                                                   | C++          |         42 |         17 |          7 |         66 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/map_extender.h                                                                           | C++          |        209 |         25 |         99 |        333 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/path_dump.h                                                                              | C++          |        128 |         17 |         33 |        178 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/solver_bits.h                                                                            | C++          |        147 |         17 |         31 |        195 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/traits.h                                                                                 | C++          |        281 |         21 |         87 |        389 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/variant.h                                                                                | C++          |        262 |        161 |         72 |        495 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/vector_map.h                                                                             | C++          |        103 |        102 |         40 |        245 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/windows.cc                                                                               | C++          |        132 |         19 |         16 |        167 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bits/windows.h                                                                                | C++          |         22 |         17 |          6 |         45 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/bucket_heap.h                                                                                 | C++          |        285 |        240 |         70 |        595 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/capacity_scaling.h                                                                            | C++          |        534 |        373 |        108 |      1,015 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/cbc.cc                                                                                        | C++          |        352 |         19 |         90 |        461 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/cbc.h                                                                                         | C++          |         66 |         29 |         35 |        130 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/christofides_tsp.h                                                                            | C++          |        115 |        105 |         35 |        255 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/circulation.h                                                                                 | C++          |        382 |        324 |        102 |        808 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/clp.cc                                                                                        | C++          |        368 |         17 |         80 |        465 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/clp.h                                                                                         | C++          |         79 |         37 |         49 |        165 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/color.cc                                                                                      | C++          |         18 |         19 |          8 |         45 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/color.h                                                                                       | C++          |        101 |         78 |         26 |        205 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/concept_check.h                                                                               | C++          |         38 |         29 |         11 |         78 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/concepts/bpgraph.h                                                                            | C++          |        288 |        557 |        185 |      1,030 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/concepts/digraph.h                                                                            | C++          |        136 |        264 |         92 |        492 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/concepts/graph.h                                                                              | C++          |        209 |        445 |        135 |        789 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/concepts/graph_components.h                                                                   | C++          |        979 |        817 |        339 |      2,135 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/concepts/heap.h                                                                               | C++          |        138 |        147 |         40 |        325 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/concepts/maps.h                                                                               | C++          |        129 |         58 |         37 |        224 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/concepts/path.h                                                                               | C++          |        140 |        112 |         61 |        313 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/connectivity.h                                                                                | C++          |      1,054 |        397 |        238 |      1,689 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/core.h                                                                                        | C++          |      1,422 |        808 |        277 |      2,507 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/cost_scaling.h                                                                                | C++          |        982 |        454 |        172 |      1,608 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/counter.h                                                                                     | C++          |        107 |        117 |         26 |        250 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/cplex.cc                                                                                      | C++          |        694 |        167 |        134 |        995 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/cplex.h                                                                                       | C++          |        140 |         78 |         75 |        293 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/cycle_canceling.h                                                                             | C++          |        732 |        381 |        118 |      1,231 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/dfs.h                                                                                         | C++          |        701 |        737 |        200 |      1,638 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/dheap.h                                                                                       | C++          |        157 |        162 |         34 |        353 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/dijkstra.h                                                                                    | C++          |        569 |        566 |        169 |      1,304 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/dim2.h                                                                                        | C++          |        370 |        214 |        143 |        727 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/dimacs.h                                                                                      | C++          |        289 |        131 |         29 |        449 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/edge_set.h                                                                                    | C++          |        960 |        186 |        275 |      1,421 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/edmonds_karp.h                                                                                | C++          |        267 |        217 |         73 |        557 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/elevator.h                                                                                    | C++          |        585 |        253 |        145 |        983 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/error.h                                                                                       | C++          |        159 |         76 |         42 |        277 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/euler.h                                                                                       | C++          |        145 |        112 |         31 |        288 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/fib_heap.h                                                                                    | C++          |        261 |        153 |         62 |        476 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/fractional_matching.h                                                                         | C++          |      1,350 |        500 |        290 |      2,140 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/full_graph.h                                                                                  | C++          |        679 |        206 |        198 |      1,083 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/glpk.cc                                                                                       | C++          |        820 |         38 |        155 |      1,013 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/glpk.h                                                                                        | C++          |        130 |         56 |         78 |        264 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/gomory_hu.h                                                                                   | C++          |        287 |        214 |         68 |        569 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/graph_to_eps.h                                                                                | C++          |        770 |        271 |        146 |      1,187 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/greedy_tsp.h                                                                                  | C++          |        118 |         93 |         41 |        252 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/grid_graph.h                                                                                  | C++          |        473 |        133 |         94 |        700 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/grosso_locatelli_pullan_mc.h                                                                  | C++          |        451 |        284 |        106 |        841 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/hao_orlin.h                                                                                   | C++          |        725 |        157 |        134 |      1,016 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/hartmann_orlin_mmc.h                                                                          | C++          |        355 |        224 |         76 |        655 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/howard_mmc.h                                                                                  | C++          |        336 |        240 |         76 |        652 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/hypercube_graph.h                                                                             | C++          |        270 |        112 |         78 |        460 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/insertion_tsp.h                                                                               | C++          |        308 |        153 |         73 |        534 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/karp_mmc.h                                                                                    | C++          |        307 |        212 |         72 |        591 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/kruskal.h                                                                                     | C++          |        200 |         75 |         50 |        325 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/lgf_reader.h                                                                                  | C++          |      2,566 |        747 |        542 |      3,855 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/lgf_writer.h                                                                                  | C++          |      1,771 |        569 |        348 |      2,688 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/list_graph.h                                                                                  | C++          |      1,602 |        500 |        409 |      2,511 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/lp.h                                                                                          | C++          |         40 |         42 |         14 |         96 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/lp_base.cc                                                                                    | C++          |          7 |         19 |          5 |         31 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/lp_base.h                                                                                     | C++          |        999 |        794 |        355 |      2,148 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/lp_skeleton.cc                                                                                | C++          |         85 |         19 |         40 |        144 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/lp_skeleton.h                                                                                 | C++          |         76 |        111 |         48 |        235 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/maps.h                                                                                        | C++          |      1,777 |      1,731 |        550 |      4,058 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/matching.h                                                                                    | C++          |      2,432 |        499 |        575 |      3,506 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/math.h                                                                                        | C++          |         23 |         42 |         13 |         78 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/max_cardinality_search.h                                                                      | C++          |        365 |        341 |         89 |        795 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/min_cost_arborescence.h                                                                       | C++          |        450 |        256 |        103 |        809 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/nagamochi_ibaraki.h                                                                           | C++          |        426 |        183 |         94 |        703 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/nauty_reader.h                                                                                | C++          |         49 |         51 |         14 |        114 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/nearest_neighbor_tsp.h                                                                        | C++          |        112 |         91 |         36 |        239 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/network_simplex.h                                                                             | C++          |      1,034 |        463 |        163 |      1,660 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/opt2_tsp.h                                                                                    | C++          |        198 |        116 |         54 |        368 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/pairing_heap.h                                                                                | C++          |        287 |        140 |         48 |        475 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/path.h                                                                                        | C++          |        679 |        319 |        167 |      1,165 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/planarity.h                                                                                   | C++          |      1,970 |        211 |        574 |      2,755 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/preflow.h                                                                                     | C++          |        584 |        283 |        119 |        986 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/quad_heap.h                                                                                   | C++          |        153 |        157 |         34 |        344 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/radix_heap.h                                                                                  | C++          |        239 |        150 |         50 |        439 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/radix_sort.h                                                                                  | C++          |        358 |         77 |         53 |        488 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/random.cc                                                                                     | C++          |          4 |         22 |          4 |         30 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/random.h                                                                                      | C++          |        553 |        299 |        154 |      1,006 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/smart_graph.h                                                                                 | C++          |        764 |        328 |        253 |      1,345 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/soplex.cc                                                                                     | C++          |        372 |         19 |         75 |        466 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/soplex.h                                                                                      | C++          |         80 |         35 |         44 |        159 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/static_graph.h                                                                                | C++          |        271 |        130 |         76 |        477 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/suurballe.h                                                                                   | C++          |        375 |        313 |         89 |        777 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/time_measure.h                                                                                | C++          |        287 |        245 |         79 |        611 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/tolerance.h                                                                                   | C++          |         77 |        119 |         47 |        243 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/lemon/unionfind.h                                                                                   | C++          |      1,122 |        437 |        266 |      1,825 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/Makefile                                                                                        | Makefile     |         14 |          0 |          3 |         17 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/README.md                                                                                       | Markdown     |         21 |          0 |          8 |         29 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/bp.cpp                                                                                          | C++          |         59 |          4 |          2 |         65 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/bp.h                                                                                            | C++          |         25 |          0 |          6 |         31 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/edge.cpp                                                                                        | C++          |         13 |          2 |          1 |         16 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/edge.h                                                                                          | C++          |         28 |          0 |          5 |         33 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/io.cpp                                                                                          | C++          |        382 |         38 |         31 |        451 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/io.h                                                                                            | C++          |         54 |          1 |          7 |         62 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/main.cpp                                                                                        | C++          |        329 |        125 |         69 |        523 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/main/src/maze.cpp                                                                                        | C++          |        729 |        135 |         68 |        932 |
